name,color,id,price_2020_10_05,weight,package,brand,size_1,size_2,size_3,size_4,size_5,natural_grass,artifical_grass,futsal,major_material,comments
Puma Play,orange,31961037,11.95,0.4,0.19x0.19x0.04,Puma,0,0,1,1,1,1,0,0,EVA,0
Puma Spin,orange,31961052,14.95,0.42,0.2x0.2x0.04,Puma,0,0,1,1,1,1,1,1,TPU,0
Puma Spin,black,31961072,12.99,0.4,0.2x0.2x0.04,Puma,0,0,0,1,1,1,1,1,TPU,0
Adidas Team J350,mix,28649595,27.95,0.1,0.1x0.1x0.1,Adidas,0,0,0,1,0,1,0,0,TPU,0
Puma Future Flash Ball,mix,28439980,20.95,0.1,0.1x0.1x0.1,Puma,0,0,0,1,1,1,0,0,TPU,0
Avento 16XF,orange,13555170,7.95,1,0.35x0.35x0.05,Avento,0,1,0,0,0,0,0,1,PVC,1
Adidas Epp II,mix,28376800,17.95,0.1,0.1x0.1x0.1,Adidas,0,0,0,1,1,1,0,0,TPU,0
Get and Go 16XD,white,12821200,5.95,0.31,0.185x0.155x0.13,Get & Go,0,0,0,0,1,1,1,1,PVC,1
Atom Sports,mix,27606102,6.99,0.33,0.2x0.2x0.11,Atom,0,0,0,1,1,1,0,0,PVC,1
Molten PF-540,mix,4822819,10.99,0.4,0.19x0.2x0.095,Molten,0,0,0,0,1,1,1,0,PU,8
Atom Sports,mix,27606087,5.99,0.3,0.21x0.21x0.11,Atom,0,0,0,1,0,1,0,0,PVC,1
Atom Sports,mix,27606087,5.99,0.3,0.21x0.21x0.11,Atom,0,0,0,1,0,1,0,0,PVC,1
Puma Big Cat,mix,28705520,12.95,0.4,0.22x0.22x0.04,Puma,0,0,1,1,1,1,0,0,TPU,0
ADIDAS EURO2020 UNIFORIA MINI,mix,28347819,16.95,0.4,0.2x0.15x0.1,Adidas,1,0,0,0,0,1,0,0,TPU,0
Spokey Ambit,black,27229715,8.49,0.44,0.21x0.21x0.13,Spokey,0,0,0,0,1,1,0,0,TPU,0
Spokey Coomb,white,24633020,21.99,0.45,0.2x0.2x0.1,Spokey,0,0,0,1,0,0,0,1,PVC,0
Puma Final 4 Club,mix,24022800,21.99,0.3,0.3x0.3x0.3,Puma,0,0,0,0,1,1,1,0,PU,1
Umbro Neo Team Trainer,mix,26983155,16.95,0.379,0.2x0.05x0.1,Umbro,0,0,1,1,1,1,0,0,PU,0
Umbro Veloce Supporter,mix,26983145,12.95,0.33,0.21x0.21x0.04,Umbro,0,0,0,1,1,1,0,0,PVC,0
Spokey Haste Pro,mix,30928091,9.45,0.5,0.21x0.21x0.21,Spokey,0,0,0,0,1,1,0,0,PVC,0
Umbro Veloce Supporter,mix,26983140,12.95,0.379,0.21x0.21x0.04,Umbro,0,0,0,0,1,1,0,0,PVC,0
Spokey Mercury,mix,27229750,7.49,0.4,0.2x0.2x0.13,Spokey,0,0,0,0,1,1,0,0,PVC,0
Spokey Mercury,mix,27229745,7.49,0.4,0.2x0.1x0.2,Spokey,0,0,0,0,1,1,0,0,PVC,0
Spokey Mercury,mix,27229740,7.49,0.4,0.2x0.1x0.2,Spokey,0,0,0,0,1,1,0,0,PVC,0
Adidas Telstar,mix,20709650,17.99,0.435,0.2x0.2x0.03,Adidas,0,0,0,0,1,1,0,0,TPU,0
ADIDAS EURO2020 UNIFORIA CLUB FR8067,mix,28347794,16.99,0.43,0.2x0.2x0.03,Adidas,0,0,0,0,1,1,0,0,TPU,0
Molten F5V1700-R,mix,5687067,13.49,0.1,0.3x0.3x0.3,Molten,0,0,0,0,1,1,0,0,PVC,0
Spokey Ambit,white,27229705,8.49,0.43,0.21x0.21x0.13,Spokey,0,0,0,0,1,1,0,0,TPU,0
SELECT FUTSAL ACADEMY SPECIAL,mix,28036907,24.99,0.45,0.4x0.4x0.4,Select,0,0,0,1,0,0,0,1,PU,0
Spokey Polska 2020,mix,30928101,8.99,0.42,0.22x0.19x0.11,Spokey,0,0,0,0,1,1,0,0,TPU,0
Spokey Agilit,mix,30928096,8.99,0.5,0.22x0.19x0.11,Spokey,0,0,0,0,1,1,0,0,PVC,0
PUMA FINAL 6 MS TRAINER,mix,28036932,16.49,0.5,0.45x0.45x0.45,Puma,0,0,0,0,1,1,0,0,PU,0
PUMA ONE LASER,mix,28036942,16.49,0.5,0.45x0.45x0.45,Puma,0,0,0,0,1,1,0,0,PU,0
SELECT MIMAS IMS 2018,mix,28036917,29.49,0.45,0.4x0.4x0.4,Select,0,0,0,1,0,0,1,1,PU,0
SELECT MIMAS IMS 2018,mix,28037427,29.49,0.45,0.4x0.4x0.4,Select,0,0,0,1,0,0,0,1,PU,0
Get&Go,mix,24476795,6.49,1,0.3x0.3x0.3,Get & Go,0,0,0,0,1,1,1,1,PVC,0
Real Madrid Kick Off Games,white,29308750,22.99,0.43,0.2x0.2x0.03,Real Madrid,0,0,0,0,1,1,0,0,PVC,0
ADIDAS EPP II FL7024,mix,28347854,13.49,0.45,0.25x0.2x0.15,Adidas,0,0,0,0,1,1,0,0,TPU,0
Real Madrid Kick Off Games,mix,29287150,25.99,0.43,0.2x0.2x0.03,Real Madrid,0,0,0,0,1,1,0,0,PET,0
Futsal Super,mix,6665246,88.49,0.2,0.3x0.3x0.3,Select,0,0,0,1,0,0,0,1,PU,0
Select Futsal Academy Special,mix,31658422,24.99,0.6,0.21x0.21x0.11,Select,0,0,0,1,0,0,1,1,PU,0
Spokey E2016 Polska VIP,mix,11286790,21.49,0.5,0.5x0.4x0.3,Spokey,0,0,0,0,1,1,1,1,PVC,0
Meteor Shiny MS,mix,31657087,14.49,0.6,0.21x0.21x0.11,Meteor,0,0,0,0,1,1,0,0,PU,0
Adidas P5686,mix,26172870,24.49,0.29,0.2x0.2x0.03,Adidas,0,0,0,1,0,0,0,1,TPU,0
Meteor 360 Grain TB,mix,24134280,28.99,0.45,0.2x0.3x0.2,Meteor,0,0,0,0,1,1,0,0,PU,0
Meteor 360 Grain HS,mix,24131070,19.49,0.4,0.26x0.17x0.13,Meteor,0,0,0,0,1,1,0,0,PU,0
Meteor 360 Mat HS,mix,24135370,19.49,0.45,0.2x0.2x0.04,Meteor,0,0,0,0,1,1,0,0,PVC,0
Adidas Finale 19 Capitano Real Madrid DY2541,mix,31660367,21.49,0.6,0.21x0.21x0.11,Adidas,0,0,0,0,1,1,0,0,TPU,0
Meteor Furry,mix,24133890,19.99,0.5,0.2x0.2x0.08,Meteor,0,0,0,1,1,0,0,1,Filcas,0
ADIDAS EURO2020 UNIFORIA CLUB FH7354,mix,28347789,18.99,0.45,0.25x0.2x0.15,Adidas,0,0,0,0,1,1,0,0,TPU,0
ADIDAS EURO2020 UNIFORIA LEAGUE J350,mix,28347804,19.99,0.45,0.25x0.2x0.15,Adidas,0,0,0,0,1,1,0,0,TPU,1
NIKE PITCH EVENT PACK S,neon,28062282,20.99,0.5,0.45x0.45x0.45,Nike,0,0,0,0,1,1,0,0,TPU,0
Adidas Context 19,mix,26749585,18.49,0.43,0.2x0.2x0.03,Adidas,0,0,0,0,1,1,0,0,TPU,0
Spokey Haste,mix,23225360,7.99,0.43,0.21x0.21x0.21,Spokey,0,0,0,0,1,1,0,0,PVC,0
FC Barcelona Kick Off Games,mix,30351571,21.99,0.43,0.2x0.2x0.03,FC Barcelona,0,0,0,0,1,1,0,0,PVC,0
Spokey Prodigy,white,26932020,9.49,0.42,0.5x0.4x0.3,Spokey,0,0,0,0,1,1,0,1,TPU,0
ADIDAS EURO2020 UNIFORIA LEAGUE BOX,mix,28347774,28.49,0.45,0.25x0.2x0.15,Adidas,0,0,0,0,1,1,0,0,TPU,1
PUMA TRAINER MS FUTSAL,mix,28036937,20.49,0.5,0.45x0.45x0.45,Puma,0,0,0,0,1,1,0,0,TPU,0
Hudora,mix,26796750,42.49,0.43,0.22x0.22x0.22,Hudora,0,0,0,0,1,1,0,0,PVC,0
